Core;Branch;Terminal_Branch;Generation;volume;pH;viscosity;transition_temp;density;boiling_point;refractive_index;freezing_point;solubility;solution;PSA;fr_C_O_noCOO;Chi4v;fr_Ar_COO;fr_SH;Chi4n;SMR_VSA10;fr_para_hydroxylation;fr_barbitur;fr_halogen;fr_dihydropyridine;fr_priamide;fr_Al_COO;fr_guanido;fr_furan;fr_morpholine;fr_nitroso;fr_COO2;fr_amidine;SMR_VSA7;fr_benzodiazepine;fr_Imine;MolWt;fr_hdrzine;fr_urea;fr_Ar_NH;fr_quatN;fr_benzene;fr_phos_acid;fr_sulfone;VSA_EState10;fr_aniline;fr_N_O;fr_sulfonamd;fr_thiazole;TPSA;EState_VSA8;PEOE_VSA14;PEOE_VSA13;PEOE_VSA12;PEOE_VSA11;PEOE_VSA10;BalabanJ;fr_lactone;EState_VSA10;EState_VSA11;HeavyAtomMolWt;fr_nitro_arom;Chi0;Chi1;MolLogP;fr_nitro;fr_Al_OH;fr_azo;fr_C_O;fr_ether;fr_phenol_noOrthoHbond;fr_alkyl_halide;NumValenceElectrons;fr_aryl_methyl;fr_Ndealkylation2;fr_term_acetylene;HallKierAlpha;fr_C_S;fr_thiocyan;fr_ketone_Topliss;VSA_EState4;VSA_EState5;VSA_EState6;VSA_EState7;VSA_EState1;VSA_EState2;VSA_EState3;fr_HOCCN;fr_NH2;SlogP_VSA12;EState_VSA9;SlogP_VSA10;SlogP_VSA11;fr_COO;NHOHCount;fr_unbrch_alkane;fr_methoxy;fr_thiophene;SlogP_VSA8;SlogP_VSA9;SlogP_VSA4;SlogP_VSA5;SlogP_VSA6;SlogP_VSA7;SlogP_VSA1;SlogP_VSA2;SlogP_VSA3;fr_phos_ester;fr_piperzine;fr_nitrile;NumHeteroatoms;fr_NH1;fr_NH0;BertzCT;LabuteASA;fr_amide;Chi3n;fr_imidazole;SMR_VSA3;SMR_VSA2;SMR_VSA1;Kappa1;SMR_VSA6;Kappa3;Kappa2;EState_VSA6;Chi3v;SMR_VSA9;SMR_VSA8;EState_VSA2;EState_VSA3;fr_Ndealkylation1;EState_VSA1;fr_ketone;SMR_VSA5;Ipc;fr_diazo;SMR_VSA4;fr_Ar_N;fr_Nhpyrrole;EState_VSA7;fr_ester;EState_VSA4;NumHDonors;fr_prisulfonamd;fr_oxime;EState_VSA5;fr_isocyan;Chi2n;Chi2v;HeavyAtomCount;fr_azide;NumHAcceptors;fr_lactam;fr_allylic_oxid;VSA_EState8;fr_oxazole;VSA_EState9;fr_piperdine;fr_Ar_OH;fr_sulfide;fr_alkyl_carbamate;NOCount;Chi1n;PEOE_VSA8;PEOE_VSA7;PEOE_VSA6;PEOE_VSA5;PEOE_VSA4;PEOE_VSA3;PEOE_VSA2;PEOE_VSA1;fr_imide;Chi1v;fr_Al_OH_noTert;fr_epoxide;fr_hdrzone;fr_isothiocyan;fr_bicyclic;Chi0n;fr_phenol;MolMR;PEOE_VSA9;MolecularFormula;fr_aldehyde;fr_pyridine;fr_tetrazole;RingCount;fr_nitro_arom_nonortho;Chi0v;fr_ArN;NumRotatableBonds
N(*)(*)CCCCN(*)(*);CCCN(*)(*);;0;428;;0.028;107;0.96;;1.502;;soluble;;;0;2.6012163492;0;0;2.6012163492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;316.538;0;0;0;0;0;0;0;0;0;0;0;0;110.56;9.7998194617;0;0;0;0;0;3.8779568485;0;0;0;276.218;0;16.4684090374;10.7779168675;-0.2342;0;0;0;0;0;0;0;134;0;0;0;-0.24;0;0;0;0;0;0;0;0;0;0;0;4;0;22.9346699086;0;0;0;4;1;0;0;0;0;0;38.5249297376;0;0;22.9346699086;75.2473835208;0;0;0;0;6;0;2;176.812711826;137.092612872;0;3.9125464751;0;9.7998194617;0;0;21.76;65.4475640591;13.4248082999;17.1191992863;0;3.9125464751;0;0;0;0;0;0;0;38.5249297376;62634.245532;0;22.9346699086;0;0;0;0;91.1308505508;4;0;0;12.8416432459;0;5.9593024549;5.9593024549;22;0;6;0;0;0;0;44;0;0;0;0;6;9.030359758;0;103.972493797;0;0;0;0;0;32.7344893703;0;9.030359758;0;0;0;0;0;14.5175367667;0;96.7996;0;C16H40N6;0;0;0;0;0;14.5175367667;0;17
N(*)(*)CCCCN(*)(*);CCCN(*)(*);;1;922;12;0.28;97;0.99;;1.512;;soluble;;;0;7.2741297928;0;0;7.2741297928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;773.306;0;0;0;0;0;0;0;0;0;0;0;0;227.6;29.3994583851;0;0;0;0;0;5.4157472813;0;0;0;676.538;0;39.7483728626;26.5053234778;-0.0706;0;0;0;0;0;0;0;326;0;0;0;-0.56;0;0;0;0;0;0;0;0;0;0;0;8;0;45.8693398173;0;0;0;8;1;0;0;0;0;0;89.891502721;0;0;45.8693398173;199.563124939;0;0;0;0;14;0;6;582.109627847;334.250121087;0;10.4211428443;0;29.3994583851;0;0;53.44;170.163666554;33.5679892117;42.0567530513;0;10.4211428443;0;0;0;0;0;0;0;89.891502721;278792954851;0;45.8693398173;0;0;0;0;221.530239537;8;0;0;38.5249297376;0;15.3089932641;15.3089932641;54;0;14;0;0;0;0;104;0;0;0;0;14;22.458086112;0;260.055169275;0;0;0;0;0;75.2687982024;0;22.458086112;0;0;0;0;0;35.586354974;0;235.7132;0;C40H96N14;0;0;0;0;0;35.586354974;0;45
N(*)(*)CCCCN(*)(*);CCCN(*)(*);;2;2.492;;1.1;90;1.01;;1.515;;soluble;;;0;16.6199566801;0;0;16.6199566801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1686.842;0;0;0;0;0;0;0;0;0;0;0;0;461.68;68.5987362319;0;0;0;0;0;7.742502902;0;0;0;1477.178;0;86.3083005131;57.9601366985;0.2566;0;0;0;0;0;0;0;710;0;0;0;-1.2;0;0;0;0;0;0;0;0;0;0;0;16;0;91.7386796346;0;0;0;16;1;0;0;0;0;0;192.624648688;0;0;91.7386796346;448.194607775;0;0;0;0;30;0;14;1500.3308109;728.565137515;0;23.4383355828;0;68.5987362319;0;0;116.8;379.595871543;73.939064337;91.9942344045;0;23.4383355828;0;0;0;0;0;0;0;192.624648688;1.16977231005e+29;0;91.7386796346;0;0;0;0;559.378876985;16;0;0;12.8416432459;0;34.0083748823;34.0083748823;118;0;30;0;0;0;0;224;0;0;0;0;30;49.3135388201;0;572.220520231;0;0;0;0;0;160.337415867;0;49.3135388201;0;0;0;0;0;77.7239913884;0;513.5404;0;C88H208N30;0;0;0;0;0;77.7239913884;0;101
N(*)(*)CCCCN(*)(*);CCCN(*)(*);;4;10.96;;6.7;84;1.01;;1.518;;soluble;;;0;72.6949180038;0;0;72.6949180038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7168.058;0;0;0;0;0;0;0;0;0;0;0;0;1866.16;303.794403313;0;0;0;0;0;17.8596279264;0;0;0;6281.018;0;365.667866416;246.689016022;2.2198;0;0;0;0;0;0;0;3014;0;0;0;-5.04;0;0;0;0;0;0;0;0;0;0;0;64;0;366.954718538;0;0;0;64;1;0;0;0;0;0;809.023524489;0;0;366.954718538;1939.98350479;0;0;0;0;126;0;62;7853.14736942;3094.45523609;0;101.541492014;0;303.794403313;0;0;496.96;1636.18910148;316.251750383;391.686718446;0;101.541492014;0;0;0;418.864409978;0;0;0;809.023524489;1.04102960809e+185;0;366.954718538;0;0;0;0;2026.34821599;64;0;0;0;0;146.204664592;146.204664592;502;0;126;0;0;0;0;944;0;0;0;0;126;210.446255069;0;2445.21262597;0;0;0;0;0;670.749121851;0;210.446255069;0;0;0;0;0;330.549809875;0;2180.5036;0;C376H880N126;0;0;0;0;0;330.549809875;0;437
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;0;;;;;0.854;64.7;1.364;52;;20;;0;3.5811276505;0;0;3.5811276505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;524.756;0;0;0;0;0;0;0;0;0;0;0;0;239.6;31.0669738777;0;0;0;0;24.9116046829;4.9398798663;0;20.4261095794;0;468.308;0;27.0204508012;17.353304268;-5.3824;0;4;0;0;0;0;0;218;0;0;0;-0.56;0;0;0;0;0;0;0;0;0;0;0;4;0;22.9346699086;0;0;0;12;0;0;0;0;0;0;25.6832864917;0;0;44.2018243247;146.764123407;0;0;0;0;14;4;2;396.544771084;216.658649302;0;5.7047116035;0;31.0669738777;0;20.4261095794;35.44;91.6265896828;21.5181864378;24.7583596723;0;5.7047116035;0;0;0;117.309876174;0;24.9116046829;0;50.5948911746;38975976.6568;0;22.9346699086;0;0;0;0;0;12;0;0;0;0;8.8723703345;8.8723703345;36;0;14;0;0;0;0;86.3333333333;0;0;0;0;14;13.2650625796;91.6265896828;25.6832864917;0;0;0;0;21.267154416;53.1605989497;0;13.2650625796;4;0;0;0;0;22.0300057879;0;143.6036;0;C22H56N10O4;0;0;0;0;0;22.0300057879;0;27
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;1;;;;;0.82;64.7;1.362;52;;20;;0;10.735018615;0;0;10.735018615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1454.068;0;0;0;0;0;0;0;0;0;0;0;0;614.72;93.2009216332;0;0;0;0;74.7348140488;6.7655907901;0;61.2783287381;0;1300.852;0;74.232925279;48.2314856793;-13.9548;0;12;0;0;0;0;0;602;0;0;0;-1.52;0;0;0;0;0;0;0;0;0;0;0;8;0;45.8693398173;0;0;0;32;0;0;0;0;0;0;77.0498594751;0;0;109.670803065;414.113344597;0;0;0;0;38;12;6;1421.04605592;598.407998833;0;16.7839981369;0;93.2009216332;0;61.2783287381;98.48;248.700743425;61.6129052386;69.2358245323;0;16.7839981369;0;0;0;325.7506029;0;74.7348140488;0;151.784673524;6.56077832879e+21;0;45.8693398173;0;0;0;0;0;32;0;0;0;0;25.462410465;25.462410465;100;0;38;0;0;0;0;237;0;0;0;0;38;37.1621945768;248.700743425;77.0498594751;0;0;0;0;63.8014632481;136.54712694;0;37.1621945768;12;0;0;0;0;60.9521891621;0;394.5932;0;C62H152N26O12;0;0;0;0;0;60.9521891621;0;79
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;2;;;;;0.86;64.7;1.362;;;20;;0;25.042800544;0;0;25.042800544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3312.692;0;0;0;0;0;0;0;0;0;0;0;0;1364.96;217.468817144;0;0;0;0;174.381232781;9.5455694376;0;142.982767056;0;2965.94;0;168.657874234;109.987848502;-31.0996;0;28;0;0;0;0;0;1370;0;0;0;-3.44;0;0;0;0;0;0;0;0;0;0;0;16;0;91.7386796346;0;0;0;72;0;0;0;0;0;0;179.783005442;0;0;240.608760547;948.811786977;0;0;0;0;86;28;14;3719.68980281;1361.9066979;0;38.9425712036;0;217.468817144;0;142.982767056;224.56;562.849050908;141.813007676;158.212197385;0;38.9425712036;0;0;142.497423534;600.134632816;0;174.381232781;0;354.164238223;1.23662554848e+73;0;91.7386796346;0;0;0;0;0;72;0;0;0;0;58.642490726;58.642490726;228;0;86;0;0;0;0;538.333333333;0;0;0;0;86;84.9564585713;562.849050908;179.783005442;0;0;0;0;148.870080912;303.320182922;0;84.9564585713;28;0;0;0;0;138.796555911;0;896.5724;0;C142H344N58O28;0;0;0;0;0;138.796555911;0;183
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;2.5;;;;;0.947;65;1.367;52;;5;;0;25.042800544;0;0;25.042800544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3312.692;0;0;0;0;0;0;0;0;0;0;0;0;1364.96;217.468817144;0;0;0;0;174.381232781;9.5455694376;0;142.982767056;0;2965.94;0;168.657874234;109.987848502;-31.0996;0;28;0;0;0;0;0;1370;0;0;0;-3.44;0;0;0;0;0;0;0;0;0;0;0;16;0;91.7386796346;0;0;0;72;0;0;0;0;0;0;179.783005442;0;0;240.608760547;948.811786977;0;0;0;0;86;28;14;3719.68980281;1361.9066979;0;38.9425712036;0;217.468817144;0;142.982767056;224.56;562.849050908;141.813007676;158.212197385;0;38.9425712036;0;0;142.497423534;600.134632816;0;174.381232781;0;354.164238223;1.23662554848e+73;0;91.7386796346;0;0;0;0;0;72;0;0;0;0;58.642490726;58.642490726;228;0;86;0;0;0;0;538.333333333;0;0;0;0;86;84.9564585713;562.849050908;179.783005442;0;0;0;0;148.870080912;303.320182922;0;84.9564585713;28;0;0;0;0;138.796555911;0;896.5724;0;C142H344N58O28;0;0;0;0;0;138.796555911;0;183
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;4;;;;;0.813;64.7;1.348;;;10;;0;110.889492118;0;0;110.889492118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14464.436;0;0;0;0;0;0;0;0;0;0;0;0;5866.4;659.281786897;0;0;0;0;772.259745171;21.5780450303;0;612.783287381;20.4261095794;12956.468;0;735.207567967;480.526025437;-133.9684;0;124;0;0;0;0;0;5978;0;0;0;-14.96;0;0;0;0;0;0;0;0;0;0;0;64;0;366.954718538;0;0;0;312;0;0;0;0;0;0;796.181881243;0;0;1026.23650544;4157.00244126;0;0;0;0;374;124;62;19356.5439921;5942.89889227;0;171.894009604;0;963.07619021;0;633.20939696;981.04;2447.73889581;623.023446505;692.09067913;0;171.894009604;0;0;3218.23749056;0;0;797.943031663;0;1568.44162641;nan;0;366.954718538;0;0;303.794403313;0;0;312;0;0;0;0;257.722972292;257.722972292;996;0;374;0;0;0;0;2346.33333333;0;0;0;0;374;371.722042538;2447.73889581;796.181881243;0;0;0;0;659.281786897;1303.95851881;0;371.722042538;124;0;0;0;0;605.862756402;0;3908.4476;0;C622H1496N250O124;0;0;0;0;0;605.862756402;0;807
